platform,title,category,relevance_score,urgency,trending_potential,publisher,author,url,published_at,matched_keywords
rss,New SSPM Tool Detects Misconfigurations in Salesforce and Microsoft 365,SSPM,0.85,high,medium,The Hacker News,Security Researcher,https://thehackernews.com/2024/01/sspm-tool.html,2025-11-30,"sspm, saas security, cloud security"
rss,Salesforce Data Breach Exposes Customer Information,Salesforce Breach,0.85,high,medium,BleepingComputer,Lawrence Abrams,https://www.bleepingcomputer.com/news/salesforce-breach,2025-12-01,"salesforce breach, salesforce security, saas security"
rss,AI Agents Pose New Security Risks to Enterprise SaaS Applications,AI Agent Security,0.85,high,medium,Dark Reading,Kelly Jackson Higgins,https://www.darkreading.com/ai-agent-security,2025-11-29,"ai agent security, saas security, autonomous agent risk"
rss,Gainsight Security Incident Affects Customer Success Platforms,Gainsight Breach,0.85,high,medium,SecurityWeek,Eduard Kovacs,https://www.securityweek.com/gainsight-breach,2025-11-28,"gainsight breach, saas security"
rss,SaaS Compliance: New Regulations for Cloud Service Providers,SaaS Compliance,0.85,high,medium,Krebs on Security,Brian Krebs,https://krebsonsecurity.com/saas-compliance,2025-11-27,"saas compliance, cloud governance"
rss,New SSPM Tool Detects Misconfigurations in Salesforce and Microsoft 365,SSPM,0.85,high,medium,The Hacker News,Security Researcher,https://thehackernews.com/2024/01/sspm-tool.html,2025-11-30,"sspm, saas security, cloud security"
rss,Salesforce Data Breach Exposes Customer Information,Salesforce Breach,0.85,high,medium,BleepingComputer,Lawrence Abrams,https://www.bleepingcomputer.com/news/salesforce-breach,2025-12-01,"salesforce breach, salesforce security, saas security"
rss,AI Agents Pose New Security Risks to Enterprise SaaS Applications,AI Agent Security,0.85,high,medium,Dark Reading,Kelly Jackson Higgins,https://www.darkreading.com/ai-agent-security,2025-11-29,"ai agent security, saas security, autonomous agent risk"
rss,Gainsight Security Incident Affects Customer Success Platforms,Gainsight Breach,0.85,high,medium,SecurityWeek,Eduard Kovacs,https://www.securityweek.com/gainsight-breach,2025-11-28,"gainsight breach, saas security"
rss,SaaS Compliance: New Regulations for Cloud Service Providers,SaaS Compliance,0.85,high,medium,Krebs on Security,Brian Krebs,https://krebsonsecurity.com/saas-compliance,2025-11-27,"saas compliance, cloud governance"
rss,New SSPM Tool Detects Misconfigurations in Salesforce and Microsoft 365,SSPM,0.85,high,medium,The Hacker News,Security Researcher,https://thehackernews.com/2024/01/sspm-tool.html,2025-11-30,"sspm, saas security, cloud security"
rss,Salesforce Data Breach Exposes Customer Information,Salesforce Breach,0.85,high,medium,BleepingComputer,Lawrence Abrams,https://www.bleepingcomputer.com/news/salesforce-breach,2025-12-01,"salesforce breach, salesforce security, saas security"
rss,AI Agents Pose New Security Risks to Enterprise SaaS Applications,AI Agent Security,0.85,high,medium,Dark Reading,Kelly Jackson Higgins,https://www.darkreading.com/ai-agent-security,2025-11-29,"ai agent security, saas security, autonomous agent risk"
rss,Gainsight Security Incident Affects Customer Success Platforms,Gainsight Breach,0.85,high,medium,SecurityWeek,Eduard Kovacs,https://www.securityweek.com/gainsight-breach,2025-11-28,"gainsight breach, saas security"
rss,SaaS Compliance: New Regulations for Cloud Service Providers,SaaS Compliance,0.85,high,medium,Krebs on Security,Brian Krebs,https://krebsonsecurity.com/saas-compliance,2025-11-27,"saas compliance, cloud governance"
rss,New SSPM Tool Detects Misconfigurations in Salesforce and Microsoft 365,SSPM,0.85,high,medium,The Hacker News,Security Researcher,https://thehackernews.com/2024/01/sspm-tool.html,2025-11-30,"sspm, saas security, cloud security"
rss,Salesforce Data Breach Exposes Customer Information,Salesforce Breach,0.85,high,medium,BleepingComputer,Lawrence Abrams,https://www.bleepingcomputer.com/news/salesforce-breach,2025-12-01,"salesforce breach, salesforce security, saas security"
rss,AI Agents Pose New Security Risks to Enterprise SaaS Applications,AI Agent Security,0.85,high,medium,Dark Reading,Kelly Jackson Higgins,https://www.darkreading.com/ai-agent-security,2025-11-29,"ai agent security, saas security, autonomous agent risk"
rss,Gainsight Security Incident Affects Customer Success Platforms,Gainsight Breach,0.85,high,medium,SecurityWeek,Eduard Kovacs,https://www.securityweek.com/gainsight-breach,2025-11-28,"gainsight breach, saas security"
rss,SaaS Compliance: New Regulations for Cloud Service Providers,SaaS Compliance,0.85,high,medium,Krebs on Security,Brian Krebs,https://krebsonsecurity.com/saas-compliance,2025-11-27,"saas compliance, cloud governance"
rss,New SSPM Tool Detects Misconfigurations in Salesforce and Microsoft 365,SSPM,0.85,high,medium,The Hacker News,Security Researcher,https://thehackernews.com/2024/01/sspm-tool.html,2025-11-30,"sspm, saas security, cloud security"
rss,Salesforce Data Breach Exposes Customer Information,Salesforce Breach,0.85,high,medium,BleepingComputer,Lawrence Abrams,https://www.bleepingcomputer.com/news/salesforce-breach,2025-12-01,"salesforce breach, salesforce security, saas security"
rss,AI Agents Pose New Security Risks to Enterprise SaaS Applications,AI Agent Security,0.85,high,medium,Dark Reading,Kelly Jackson Higgins,https://www.darkreading.com/ai-agent-security,2025-11-29,"ai agent security, saas security, autonomous agent risk"
rss,Gainsight Security Incident Affects Customer Success Platforms,Gainsight Breach,0.85,high,medium,SecurityWeek,Eduard Kovacs,https://www.securityweek.com/gainsight-breach,2025-11-28,"gainsight breach, saas security"
rss,SaaS Compliance: New Regulations for Cloud Service Providers,SaaS Compliance,0.85,high,medium,Krebs on Security,Brian Krebs,https://krebsonsecurity.com/saas-compliance,2025-11-27,"saas compliance, cloud governance"
rss,New SSPM Tool Detects Misconfigurations in Salesforce and Microsoft 365,SSPM,0.85,high,medium,The Hacker News,Security Researcher,https://thehackernews.com/2024/01/sspm-tool.html,2025-11-30,"sspm, saas security, cloud security"
rss,Salesforce Data Breach Exposes Customer Information,Salesforce Breach,0.85,high,medium,BleepingComputer,Lawrence Abrams,https://www.bleepingcomputer.com/news/salesforce-breach,2025-12-01,"salesforce breach, salesforce security, saas security"
rss,AI Agents Pose New Security Risks to Enterprise SaaS Applications,AI Agent Security,0.85,high,medium,Dark Reading,Kelly Jackson Higgins,https://www.darkreading.com/ai-agent-security,2025-11-29,"ai agent security, saas security, autonomous agent risk"
rss,Gainsight Security Incident Affects Customer Success Platforms,Gainsight Breach,0.85,high,medium,SecurityWeek,Eduard Kovacs,https://www.securityweek.com/gainsight-breach,2025-11-28,"gainsight breach, saas security"
rss,SaaS Compliance: New Regulations for Cloud Service Providers,SaaS Compliance,0.85,high,medium,Krebs on Security,Brian Krebs,https://krebsonsecurity.com/saas-compliance,2025-11-27,"saas compliance, cloud governance"
rss,New SSPM Tool Detects Misconfigurations in Salesforce and Microsoft 365,SSPM,0.85,high,medium,The Hacker News,Security Researcher,https://thehackernews.com/2024/01/sspm-tool.html,2025-11-30,"sspm, saas security, cloud security"
rss,Salesforce Data Breach Exposes Customer Information,Salesforce Breach,0.85,high,medium,BleepingComputer,Lawrence Abrams,https://www.bleepingcomputer.com/news/salesforce-breach,2025-12-01,"salesforce breach, salesforce security, saas security"
rss,AI Agents Pose New Security Risks to Enterprise SaaS Applications,AI Agent Security,0.85,high,medium,Dark Reading,Kelly Jackson Higgins,https://www.darkreading.com/ai-agent-security,2025-11-29,"ai agent security, saas security, autonomous agent risk"
rss,Gainsight Security Incident Affects Customer Success Platforms,Gainsight Breach,0.85,high,medium,SecurityWeek,Eduard Kovacs,https://www.securityweek.com/gainsight-breach,2025-11-28,"gainsight breach, saas security"
rss,SaaS Compliance: New Regulations for Cloud Service Providers,SaaS Compliance,0.85,high,medium,Krebs on Security,Brian Krebs,https://krebsonsecurity.com/saas-compliance,2025-11-27,"saas compliance, cloud governance"
rss,New SSPM Tool Detects Misconfigurations in Salesforce and Microsoft 365,SSPM,0.85,high,medium,The Hacker News,Security Researcher,https://thehackernews.com/2024/01/sspm-tool.html,2025-11-30,"sspm, saas security, cloud security"
rss,Salesforce Data Breach Exposes Customer Information,Salesforce Breach,0.85,high,medium,BleepingComputer,Lawrence Abrams,https://www.bleepingcomputer.com/news/salesforce-breach,2025-12-01,"salesforce breach, salesforce security, saas security"
rss,AI Agents Pose New Security Risks to Enterprise SaaS Applications,AI Agent Security,0.85,high,medium,Dark Reading,Kelly Jackson Higgins,https://www.darkreading.com/ai-agent-security,2025-11-29,"ai agent security, saas security, autonomous agent risk"
rss,Gainsight Security Incident Affects Customer Success Platforms,Gainsight Breach,0.85,high,medium,SecurityWeek,Eduard Kovacs,https://www.securityweek.com/gainsight-breach,2025-11-28,"gainsight breach, saas security"
rss,SaaS Compliance: New Regulations for Cloud Service Providers,SaaS Compliance,0.85,high,medium,Krebs on Security,Brian Krebs,https://krebsonsecurity.com/saas-compliance,2025-11-27,"saas compliance, cloud governance"
rss,New SSPM Tool Detects Misconfigurations in Salesforce and Microsoft 365,SSPM,0.85,high,medium,The Hacker News,Security Researcher,https://thehackernews.com/2024/01/sspm-tool.html,2025-11-30,"sspm, saas security, cloud security"
rss,Salesforce Data Breach Exposes Customer Information,Salesforce Breach,0.85,high,medium,BleepingComputer,Lawrence Abrams,https://www.bleepingcomputer.com/news/salesforce-breach,2025-12-01,"salesforce breach, salesforce security, saas security"
rss,AI Agents Pose New Security Risks to Enterprise SaaS Applications,AI Agent Security,0.85,high,medium,Dark Reading,Kelly Jackson Higgins,https://www.darkreading.com/ai-agent-security,2025-11-29,"ai agent security, saas security, autonomous agent risk"
rss,Gainsight Security Incident Affects Customer Success Platforms,Gainsight Breach,0.85,high,medium,SecurityWeek,Eduard Kovacs,https://www.securityweek.com/gainsight-breach,2025-11-28,"gainsight breach, saas security"
rss,SaaS Compliance: New Regulations for Cloud Service Providers,SaaS Compliance,0.85,high,medium,Krebs on Security,Brian Krebs,https://krebsonsecurity.com/saas-compliance,2025-11-27,"saas compliance, cloud governance"
rss,New SSPM Tool Detects Misconfigurations in Salesforce and Microsoft 365,SSPM,0.85,high,medium,The Hacker News,Security Researcher,https://thehackernews.com/2024/01/sspm-tool.html,2025-11-30,"sspm, saas security, cloud security"
rss,Salesforce Data Breach Exposes Customer Information,Salesforce Breach,0.85,high,medium,BleepingComputer,Lawrence Abrams,https://www.bleepingcomputer.com/news/salesforce-breach,2025-12-01,"salesforce breach, salesforce security, saas security"
rss,AI Agents Pose New Security Risks to Enterprise SaaS Applications,AI Agent Security,0.85,high,medium,Dark Reading,Kelly Jackson Higgins,https://www.darkreading.com/ai-agent-security,2025-11-29,"ai agent security, saas security, autonomous agent risk"
rss,Gainsight Security Incident Affects Customer Success Platforms,Gainsight Breach,0.85,high,medium,SecurityWeek,Eduard Kovacs,https://www.securityweek.com/gainsight-breach,2025-11-28,"gainsight breach, saas security"
rss,SaaS Compliance: New Regulations for Cloud Service Providers,SaaS Compliance,0.85,high,medium,Krebs on Security,Brian Krebs,https://krebsonsecurity.com/saas-compliance,2025-11-27,"saas compliance, cloud governance"
rss,New SSPM Tool Detects Misconfigurations in Salesforce and Microsoft 365,SSPM,0.85,high,medium,The Hacker News,Security Researcher,https://thehackernews.com/2024/01/sspm-tool.html,2025-11-30,"sspm, saas security, cloud security"
rss,Salesforce Data Breach Exposes Customer Information,Salesforce Breach,0.85,high,medium,BleepingComputer,Lawrence Abrams,https://www.bleepingcomputer.com/news/salesforce-breach,2025-12-01,"salesforce breach, salesforce security, saas security"
rss,AI Agents Pose New Security Risks to Enterprise SaaS Applications,AI Agent Security,0.85,high,medium,Dark Reading,Kelly Jackson Higgins,https://www.darkreading.com/ai-agent-security,2025-11-29,"ai agent security, saas security, autonomous agent risk"
rss,Gainsight Security Incident Affects Customer Success Platforms,Gainsight Breach,0.85,high,medium,SecurityWeek,Eduard Kovacs,https://www.securityweek.com/gainsight-breach,2025-11-28,"gainsight breach, saas security"
rss,SaaS Compliance: New Regulations for Cloud Service Providers,SaaS Compliance,0.85,high,medium,Krebs on Security,Brian Krebs,https://krebsonsecurity.com/saas-compliance,2025-11-27,"saas compliance, cloud governance"
rss,New SSPM Tool Detects Misconfigurations in Salesforce and Microsoft 365,SSPM,0.85,high,medium,The Hacker News,Security Researcher,https://thehackernews.com/2024/01/sspm-tool.html,2025-11-30,"sspm, saas security, cloud security"
rss,Salesforce Data Breach Exposes Customer Information,Salesforce Breach,0.85,high,medium,BleepingComputer,Lawrence Abrams,https://www.bleepingcomputer.com/news/salesforce-breach,2025-12-01,"salesforce breach, salesforce security, saas security"
rss,AI Agents Pose New Security Risks to Enterprise SaaS Applications,AI Agent Security,0.85,high,medium,Dark Reading,Kelly Jackson Higgins,https://www.darkreading.com/ai-agent-security,2025-11-29,"ai agent security, saas security, autonomous agent risk"
rss,Gainsight Security Incident Affects Customer Success Platforms,Gainsight Breach,0.85,high,medium,SecurityWeek,Eduard Kovacs,https://www.securityweek.com/gainsight-breach,2025-11-28,"gainsight breach, saas security"
rss,SaaS Compliance: New Regulations for Cloud Service Providers,SaaS Compliance,0.85,high,medium,Krebs on Security,Brian Krebs,https://krebsonsecurity.com/saas-compliance,2025-11-27,"saas compliance, cloud governance"
rss,New SSPM Tool Detects Misconfigurations in Salesforce and Microsoft 365,SSPM,0.85,high,medium,The Hacker News,Security Researcher,https://thehackernews.com/2024/01/sspm-tool.html,2025-11-30,"sspm, saas security, cloud security"
rss,Salesforce Data Breach Exposes Customer Information,Salesforce Breach,0.85,high,medium,BleepingComputer,Lawrence Abrams,https://www.bleepingcomputer.com/news/salesforce-breach,2025-12-01,"salesforce breach, salesforce security, saas security"
rss,AI Agents Pose New Security Risks to Enterprise SaaS Applications,AI Agent Security,0.85,high,medium,Dark Reading,Kelly Jackson Higgins,https://www.darkreading.com/ai-agent-security,2025-11-29,"ai agent security, saas security, autonomous agent risk"
rss,Gainsight Security Incident Affects Customer Success Platforms,Gainsight Breach,0.85,high,medium,SecurityWeek,Eduard Kovacs,https://www.securityweek.com/gainsight-breach,2025-11-28,"gainsight breach, saas security"
rss,SaaS Compliance: New Regulations for Cloud Service Providers,SaaS Compliance,0.85,high,medium,Krebs on Security,Brian Krebs,https://krebsonsecurity.com/saas-compliance,2025-11-27,"saas compliance, cloud governance"
rss,New SSPM Tool Detects Misconfigurations in Salesforce and Microsoft 365,SSPM,0.85,high,medium,The Hacker News,Security Researcher,https://thehackernews.com/2024/01/sspm-tool.html,2025-11-30,"sspm, saas security, cloud security"
rss,Salesforce Data Breach Exposes Customer Information,Salesforce Breach,0.85,high,medium,BleepingComputer,Lawrence Abrams,https://www.bleepingcomputer.com/news/salesforce-breach,2025-12-01,"salesforce breach, salesforce security, saas security"
rss,AI Agents Pose New Security Risks to Enterprise SaaS Applications,AI Agent Security,0.85,high,medium,Dark Reading,Kelly Jackson Higgins,https://www.darkreading.com/ai-agent-security,2025-11-29,"ai agent security, saas security, autonomous agent risk"
rss,Gainsight Security Incident Affects Customer Success Platforms,Gainsight Breach,0.85,high,medium,SecurityWeek,Eduard Kovacs,https://www.securityweek.com/gainsight-breach,2025-11-28,"gainsight breach, saas security"
rss,SaaS Compliance: New Regulations for Cloud Service Providers,SaaS Compliance,0.85,high,medium,Krebs on Security,Brian Krebs,https://krebsonsecurity.com/saas-compliance,2025-11-27,"saas compliance, cloud governance"
rss,New SSPM Tool Detects Misconfigurations in Salesforce and Microsoft 365,SSPM,0.85,high,medium,The Hacker News,Security Researcher,https://thehackernews.com/2024/01/sspm-tool.html,2025-11-30,"sspm, saas security, cloud security"
rss,Salesforce Data Breach Exposes Customer Information,Salesforce Breach,0.85,high,medium,BleepingComputer,Lawrence Abrams,https://www.bleepingcomputer.com/news/salesforce-breach,2025-12-01,"salesforce breach, salesforce security, saas security"
rss,AI Agents Pose New Security Risks to Enterprise SaaS Applications,AI Agent Security,0.85,high,medium,Dark Reading,Kelly Jackson Higgins,https://www.darkreading.com/ai-agent-security,2025-11-29,"ai agent security, saas security, autonomous agent risk"
rss,Gainsight Security Incident Affects Customer Success Platforms,Gainsight Breach,0.85,high,medium,SecurityWeek,Eduard Kovacs,https://www.securityweek.com/gainsight-breach,2025-11-28,"gainsight breach, saas security"
rss,SaaS Compliance: New Regulations for Cloud Service Providers,SaaS Compliance,0.85,high,medium,Krebs on Security,Brian Krebs,https://krebsonsecurity.com/saas-compliance,2025-11-27,"saas compliance, cloud governance"
rss,New SSPM Tool Detects Misconfigurations in Salesforce and Microsoft 365,SSPM,0.85,high,medium,The Hacker News,Security Researcher,https://thehackernews.com/2024/01/sspm-tool.html,2025-11-30,"sspm, saas security, cloud security"
rss,Salesforce Data Breach Exposes Customer Information,Salesforce Breach,0.85,high,medium,BleepingComputer,Lawrence Abrams,https://www.bleepingcomputer.com/news/salesforce-breach,2025-12-01,"salesforce breach, salesforce security, saas security"
rss,AI Agents Pose New Security Risks to Enterprise SaaS Applications,AI Agent Security,0.85,high,medium,Dark Reading,Kelly Jackson Higgins,https://www.darkreading.com/ai-agent-security,2025-11-29,"ai agent security, saas security, autonomous agent risk"
rss,Gainsight Security Incident Affects Customer Success Platforms,Gainsight Breach,0.85,high,medium,SecurityWeek,Eduard Kovacs,https://www.securityweek.com/gainsight-breach,2025-11-28,"gainsight breach, saas security"
rss,SaaS Compliance: New Regulations for Cloud Service Providers,SaaS Compliance,0.85,high,medium,Krebs on Security,Brian Krebs,https://krebsonsecurity.com/saas-compliance,2025-11-27,"saas compliance, cloud governance"
rss,New SSPM Tool Detects Misconfigurations in Salesforce and Microsoft 365,SSPM,0.85,high,medium,The Hacker News,Security Researcher,https://thehackernews.com/2024/01/sspm-tool.html,2025-11-30,"sspm, saas security, cloud security"
rss,Salesforce Data Breach Exposes Customer Information,Salesforce Breach,0.85,high,medium,BleepingComputer,Lawrence Abrams,https://www.bleepingcomputer.com/news/salesforce-breach,2025-12-01,"salesforce breach, salesforce security, saas security"
rss,AI Agents Pose New Security Risks to Enterprise SaaS Applications,AI Agent Security,0.85,high,medium,Dark Reading,Kelly Jackson Higgins,https://www.darkreading.com/ai-agent-security,2025-11-29,"ai agent security, saas security, autonomous agent risk"
rss,Gainsight Security Incident Affects Customer Success Platforms,Gainsight Breach,0.85,high,medium,SecurityWeek,Eduard Kovacs,https://www.securityweek.com/gainsight-breach,2025-11-28,"gainsight breach, saas security"
rss,SaaS Compliance: New Regulations for Cloud Service Providers,SaaS Compliance,0.85,high,medium,Krebs on Security,Brian Krebs,https://krebsonsecurity.com/saas-compliance,2025-11-27,"saas compliance, cloud governance"
rss,New SSPM Tool Detects Misconfigurations in Salesforce and Microsoft 365,SSPM,0.85,high,medium,The Hacker News,Security Researcher,https://thehackernews.com/2024/01/sspm-tool.html,2025-11-30,"sspm, saas security, cloud security"
rss,Salesforce Data Breach Exposes Customer Information,Salesforce Breach,0.85,high,medium,BleepingComputer,Lawrence Abrams,https://www.bleepingcomputer.com/news/salesforce-breach,2025-12-01,"salesforce breach, salesforce security, saas security"
rss,AI Agents Pose New Security Risks to Enterprise SaaS Applications,AI Agent Security,0.85,high,medium,Dark Reading,Kelly Jackson Higgins,https://www.darkreading.com/ai-agent-security,2025-11-29,"ai agent security, saas security, autonomous agent risk"
rss,Gainsight Security Incident Affects Customer Success Platforms,Gainsight Breach,0.85,high,medium,SecurityWeek,Eduard Kovacs,https://www.securityweek.com/gainsight-breach,2025-11-28,"gainsight breach, saas security"
rss,SaaS Compliance: New Regulations for Cloud Service Providers,SaaS Compliance,0.85,high,medium,Krebs on Security,Brian Krebs,https://krebsonsecurity.com/saas-compliance,2025-11-27,"saas compliance, cloud governance"
rss,New SSPM Tool Detects Misconfigurations in Salesforce and Microsoft 365,SSPM,0.85,high,medium,The Hacker News,Security Researcher,https://thehackernews.com/2024/01/sspm-tool.html,2025-11-30,"sspm, saas security, cloud security"
rss,Salesforce Data Breach Exposes Customer Information,Salesforce Breach,0.85,high,medium,BleepingComputer,Lawrence Abrams,https://www.bleepingcomputer.com/news/salesforce-breach,2025-12-01,"salesforce breach, salesforce security, saas security"
rss,AI Agents Pose New Security Risks to Enterprise SaaS Applications,AI Agent Security,0.85,high,medium,Dark Reading,Kelly Jackson Higgins,https://www.darkreading.com/ai-agent-security,2025-11-29,"ai agent security, saas security, autonomous agent risk"
rss,Gainsight Security Incident Affects Customer Success Platforms,Gainsight Breach,0.85,high,medium,SecurityWeek,Eduard Kovacs,https://www.securityweek.com/gainsight-breach,2025-11-28,"gainsight breach, saas security"
rss,SaaS Compliance: New Regulations for Cloud Service Providers,SaaS Compliance,0.85,high,medium,Krebs on Security,Brian Krebs,https://krebsonsecurity.com/saas-compliance,2025-11-27,"saas compliance, cloud governance"
rss,New SSPM Tool Detects Misconfigurations in Salesforce and Microsoft 365,SSPM,0.85,high,medium,The Hacker News,Security Researcher,https://thehackernews.com/2024/01/sspm-tool.html,2025-11-30,"sspm, saas security, cloud security"
rss,Salesforce Data Breach Exposes Customer Information,Salesforce Breach,0.85,high,medium,BleepingComputer,Lawrence Abrams,https://www.bleepingcomputer.com/news/salesforce-breach,2025-12-01,"salesforce breach, salesforce security, saas security"
rss,AI Agents Pose New Security Risks to Enterprise SaaS Applications,AI Agent Security,0.85,high,medium,Dark Reading,Kelly Jackson Higgins,https://www.darkreading.com/ai-agent-security,2025-11-29,"ai agent security, saas security, autonomous agent risk"
rss,Gainsight Security Incident Affects Customer Success Platforms,Gainsight Breach,0.85,high,medium,SecurityWeek,Eduard Kovacs,https://www.securityweek.com/gainsight-breach,2025-11-28,"gainsight breach, saas security"
rss,SaaS Compliance: New Regulations for Cloud Service Providers,SaaS Compliance,0.85,high,medium,Krebs on Security,Brian Krebs,https://krebsonsecurity.com/saas-compliance,2025-11-27,"saas compliance, cloud governance"
rss,New SSPM Tool Detects Misconfigurations in Salesforce and Microsoft 365,SSPM,0.85,high,medium,The Hacker News,Security Researcher,https://thehackernews.com/2024/01/sspm-tool.html,2025-11-30,"sspm, saas security, cloud security"
rss,Salesforce Data Breach Exposes Customer Information,Salesforce Breach,0.85,high,medium,BleepingComputer,Lawrence Abrams,https://www.bleepingcomputer.com/news/salesforce-breach,2025-12-01,"salesforce breach, salesforce security, saas security"
rss,AI Agents Pose New Security Risks to Enterprise SaaS Applications,AI Agent Security,0.85,high,medium,Dark Reading,Kelly Jackson Higgins,https://www.darkreading.com/ai-agent-security,2025-11-29,"ai agent security, saas security, autonomous agent risk"
rss,Gainsight Security Incident Affects Customer Success Platforms,Gainsight Breach,0.85,high,medium,SecurityWeek,Eduard Kovacs,https://www.securityweek.com/gainsight-breach,2025-11-28,"gainsight breach, saas security"
